symbol,type,common_name,hq_aprox_location_lat,hq_aprox_location_lon,Date,Open,High,Low,Close,Adj Close,Volume,Year
KO,Stock,The CocaCola Company,34,-84,4/8/1969,0.734375,0.75,0.721354,0.729167,0.169049,3878400,1969
KO,Stock,The CocaCola Company,34,-84,11/8/1969,0.729167,0.755208,0.714844,0.755208,0.175086,7651200,1969
KO,Stock,The CocaCola Company,34,-84,18/8/1969,0.752604,0.753906,0.739583,0.747396,0.173275,4483200,1969
KO,Stock,The CocaCola Company,34,-84,25/8/1969,0.747396,0.760417,0.742188,0.760417,0.176293,3907200,1969
KO,Stock,The CocaCola Company,34,-84,1/9/1969,0.760417,0.760417,0.744792,0.75651,0.175388,2179200,1969
KO,Stock,The CocaCola Company,34,-84,8/9/1969,0.75,0.779948,0.747396,0.77474,0.179614,4886400,1969
KO,Stock,The CocaCola Company,34,-84,15/9/1969,0.77474,0.802083,0.772135,0.802083,0.186802,5913600,1969
KO,Stock,The CocaCola Company,34,-84,22/9/1969,0.798177,0.825521,0.794271,0.8125,0.189228,7372800,1969
KO,Stock,The CocaCola Company,34,-84,29/9/1969,0.8125,0.8125,0.786458,0.804688,0.187409,4300800,1969
KO,Stock,The CocaCola Company,34,-84,6/10/1969,0.804688,0.822917,0.796875,0.817708,0.190441,4003200,1969
KO,Stock,The CocaCola Company,34,-84,13/10/1969,0.817708,0.829427,0.8125,0.813802,0.189532,7958400,1969
KO,Stock,The CocaCola Company,34,-84,20/10/1969,0.811198,0.841146,0.786458,0.835938,0.194687,11059200,1969
KO,Stock,The CocaCola Company,34,-84,27/10/1969,0.835938,0.871094,0.826823,0.871094,0.202875,5145600,1969
KO,Stock,The CocaCola Company,34,-84,3/11/1969,0.871094,0.884115,0.867188,0.872396,0.203178,4358400,1969
KO,Stock,The CocaCola Company,34,-84,10/11/1969,0.885417,0.90625,0.854167,0.860677,0.200448,7497600,1969
KO,Stock,The CocaCola Company,34,-84,17/11/1969,0.860677,0.864583,0.84375,0.854167,0.198932,3897600,1969
KO,Stock,The CocaCola Company,34,-84,24/11/1969,0.84375,0.84375,0.8125,0.8125,0.189228,4934400,1969
KO,Stock,The CocaCola Company,34,-84,1/12/1969,0.8125,0.845052,0.804688,0.84375,0.1973,5443200,1969
KO,Stock,The CocaCola Company,34,-84,8/12/1969,0.84375,0.869792,0.84375,0.856771,0.200345,4713600,1969
KO,Stock,The CocaCola Company,34,-84,15/12/1969,0.858073,0.864583,0.834635,0.846354,0.197909,5068800,1969
KO,Stock,The CocaCola Company,34,-84,22/12/1969,0.846354,0.848958,0.820313,0.833333,0.194864,2956800,1969
KO,Stock,The CocaCola Company,34,-84,29/12/1969,0.832031,0.863281,0.817708,0.856771,0.200345,3388800,1969
KO,Stock,The CocaCola Company,34,-84,5/1/1970,0.854167,0.864583,0.839844,0.854167,0.199736,3571200,1970
KO,Stock,The CocaCola Company,34,-84,12/1/1970,0.854167,0.888021,0.848958,0.885417,0.207044,4521600,1970
KO,Stock,The CocaCola Company,34,-84,19/1/1970,0.886719,0.901042,0.875,0.875,0.204608,6921600,1970
KO,Stock,The CocaCola Company,34,-84,26/1/1970,0.872396,0.872396,0.825521,0.825521,0.193038,5673600,1970
KO,Stock,The CocaCola Company,34,-84,2/2/1970,0.825521,0.875,0.809896,0.855469,0.200041,7526400,1970
KO,Stock,The CocaCola Company,34,-84,9/2/1970,0.855469,0.864583,0.838542,0.841146,0.196691,4099200,1970
KO,Stock,The CocaCola Company,34,-84,16/2/1970,0.841146,0.852865,0.833333,0.851563,0.199127,5184000,1970
KO,Stock,The CocaCola Company,34,-84,23/2/1970,0.851563,0.867188,0.84375,0.863281,0.201867,4396800,1970
KO,Stock,The CocaCola Company,34,-84,2/3/1970,0.864583,0.878906,0.864583,0.875,0.204608,5654400,1970
KO,Stock,The CocaCola Company,34,-84,9/3/1970,0.869792,0.869792,0.85026,0.85026,0.198823,4454400,1970
KO,Stock,The CocaCola Company,34,-84,16/3/1970,0.85026,0.851563,0.822917,0.825521,0.193038,6662400,1970
KO,Stock,The CocaCola Company,34,-84,23/3/1970,0.825521,0.842448,0.816406,0.834635,0.195169,4656000,1970
KO,Stock,The CocaCola Company,34,-84,30/3/1970,0.835938,0.846354,0.828125,0.828125,0.193647,5481600,1970
KO,Stock,The CocaCola Company,34,-84,6/4/1970,0.825521,0.828125,0.795573,0.795573,0.186035,7996800,1970
KO,Stock,The CocaCola Company,34,-84,13/4/1970,0.786458,0.811198,0.770833,0.807292,0.188775,12950400,1970
KO,Stock,The CocaCola Company,34,-84,20/4/1970,0.807292,0.809896,0.78125,0.786458,0.183903,5961600,1970
KO,Stock,The CocaCola Company,34,-84,27/4/1970,0.783854,0.783854,0.746094,0.757813,0.177205,15091200,1970
KO,Stock,The CocaCola Company,34,-84,4/5/1970,0.757813,0.757813,0.713542,0.747396,0.174769,12864000,1970
KO,Stock,The CocaCola Company,34,-84,11/5/1970,0.75,0.760417,0.713542,0.735677,0.172029,13248000,1970
KO,Stock,The CocaCola Company,34,-84,18/5/1970,0.735677,0.74349,0.674479,0.6875,0.160763,11836800,1970
KO,Stock,The CocaCola Company,34,-84,25/5/1970,0.682292,0.74349,0.65625,0.740885,0.173247,14102400,1970
KO,Stock,The CocaCola Company,34,-84,1/6/1970,0.744792,0.786458,0.744792,0.755208,0.176596,10204800,1970
KO,Stock,The CocaCola Company,34,-84,8/6/1970,0.755208,0.759115,0.71875,0.71875,0.168071,5510400,1970
KO,Stock,The CocaCola Company,34,-84,15/6/1970,0.71875,0.786458,0.710938,0.770833,0.181149,6873600,1970
KO,Stock,The CocaCola Company,34,-84,22/6/1970,0.770833,0.772135,0.739583,0.742188,0.174417,6307200,1970
KO,Stock,The CocaCola Company,34,-84,29/6/1970,0.742188,0.747396,0.710938,0.747396,0.175641,6825600,1970
KO,Stock,The CocaCola Company,34,-84,6/7/1970,0.747396,0.765625,0.72526,0.761719,0.179007,9302400,1970
KO,Stock,The CocaCola Company,34,-84,13/7/1970,0.761719,0.765625,0.739583,0.753906,0.177171,6556800,1970
KO,Stock,The CocaCola Company,34,-84,20/7/1970,0.753906,0.770833,0.740885,0.740885,0.174111,6067200,1970
KO,Stock,The CocaCola Company,34,-84,27/7/1970,0.742188,0.765625,0.733073,0.757813,0.178089,3840000,1970
KO,Stock,The CocaCola Company,34,-84,3/8/1970,0.755208,0.755208,0.734375,0.739583,0.173805,4828800,1970
KO,Stock,The CocaCola Company,34,-84,10/8/1970,0.739583,0.739583,0.6875,0.692708,0.162789,7843200,1970
KO,Stock,The CocaCola Company,34,-84,17/8/1970,0.692708,0.721354,0.683594,0.71875,0.168909,7315200,1970
KO,Stock,The CocaCola Company,34,-84,24/8/1970,0.721354,0.763021,0.721354,0.752604,0.176865,8284800,1970
KO,Stock,The CocaCola Company,34,-84,31/8/1970,0.752604,0.776042,0.740885,0.747396,0.175641,3628800,1970
KO,Stock,The CocaCola Company,34,-84,7/9/1970,0.747396,0.776042,0.74349,0.757813,0.178089,3849600,1970
KO,Stock,The CocaCola Company,34,-84,14/9/1970,0.757813,0.763021,0.740885,0.744792,0.175894,7728000,1970
KO,Stock,The CocaCola Company,34,-84,21/9/1970,0.744792,0.78125,0.739583,0.78125,0.184504,6384000,1970
